Financial Year,Room Type,Town,Latitude,Longitude,Remaining Lease,Distance From Nearest Hawker,Distance From Nearest Park,Distance To Nearest Mall,Distance To Nereast School,Hawker,School,Shopping Mall,Max Selling Price,Min Selling Price,Average Selling Price
1/1/2015,4,Punggol,1.404546728,103.902052,93,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,489000,364000,426500
1/1/2016,1,Punggol,1.404546728,103.902052,94,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,140000,80000,110000
1/1/2016,2,Punggol,1.404546728,103.902052,94,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,210000,163000,186500
1/1/2016,3,Punggol,1.404546728,103.902052,94,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,365000,257000,311000
1/1/2016,4,Punggol,1.404546728,103.902052,94,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,498000,329000,413500
1/1/2017,1,Punggol,1.404546728,103.902052,95,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,0,0,0
1/1/2017,2,Punggol,1.404546728,103.902052,95,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,0,0,0
1/1/2017,3,Punggol,1.404546728,103.902052,95,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,347000,287000,317000
1/1/2017,4,Punggol,1.404546728,103.902052,95,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,434000,357000,395500
1/1/2018,1,Punggol,1.404546728,103.902052,96,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,158000,103000,130500
1/1/2018,2,Punggol,1.404546728,103.902052,96,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,243000,189000,216000
1/1/2018,3,Punggol,1.404546728,103.902052,96,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,362000,286000,324000
1/1/2018,4,Punggol,1.404546728,103.902052,96,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,489000,393000,441000
